Month,Day,Year,Covid,Day of Week,Holiday,Season,Previous Year Sales,Label
1,2,2017,0,Monday,0,Winter,0,0
1,3,2017,0,Tuesday,0,Winter,0,2
1,4,2017,0,Wednesday,0,Winter,0,1
1,5,2017,0,Thursday,0,Winter,0,0
1,6,2017,0,Friday,0,Winter,0,2
1,7,2017,0,Saturday,0,Winter,0,0
1,8,2017,0,Sunday,0,Winter,0,0
1,9,2017,0,Monday,0,Winter,0,3
1,10,2017,0,Tuesday,0,Winter,0,1
1,11,2017,0,Wednesday,0,Winter,0,1
1,12,2017,0,Thursday,0,Winter,0,1
1,13,2017,0,Friday,0,Winter,0,2
1,14,2017,0,Saturday,0,Winter,0,0
1,15,2017,0,Sunday,0,Winter,0,0
1,16,2017,0,Monday,0,Winter,0,0
1,17,2017,0,Tuesday,0,Winter,0,4
1,18,2017,0,Wednesday,0,Winter,0,0
1,19,2017,0,Thursday,0,Winter,0,1
1,20,2017,0,Friday,0,Winter,0,0
1,21,2017,0,Saturday,0,Winter,0,0
1,22,2017,0,Sunday,0,Winter,0,0
1,23,2017,0,Monday,0,Winter,0,2
1,24,2017,0,Tuesday,0,Winter,0,0
1,25,2017,0,Wednesday,0,Winter,0,0
1,26,2017,0,Thursday,0,Winter,0,0
1,27,2017,0,Friday,0,Winter,0,1
1,28,2017,0,Saturday,0,Winter,0,0
1,29,2017,0,Sunday,0,Winter,0,0
1,30,2017,0,Monday,0,Winter,0,2
1,31,2017,0,Tuesday,0,Winter,0,1
2,1,2017,0,Wednesday,0,Winter,0,0
2,2,2017,0,Thursday,0,Winter,0,0
2,3,2017,0,Friday,0,Winter,0,2
2,4,2017,0,Saturday,0,Winter,0,0
2,5,2017,0,Sunday,0,Winter,0,0
2,6,2017,0,Monday,0,Winter,0,2
2,7,2017,0,Tuesday,0,Winter,0,3
2,8,2017,0,Wednesday,0,Winter,0,2
2,9,2017,0,Thursday,0,Winter,0,0
2,10,2017,0,Friday,0,Winter,0,1
2,11,2017,0,Saturday,0,Winter,0,0
2,12,2017,0,Sunday,0,Winter,0,0
2,13,2017,0,Monday,0,Winter,0,1
2,14,2017,0,Tuesday,0,Winter,0,3
2,15,2017,0,Wednesday,0,Winter,0,1
2,16,2017,0,Thursday,0,Winter,0,1
2,17,2017,0,Friday,0,Winter,0,0
2,18,2017,0,Saturday,0,Winter,0,0
2,19,2017,0,Sunday,0,Winter,0,0
2,20,2017,0,Monday,0,Winter,0,2
2,21,2017,0,Tuesday,0,Winter,0,2
2,22,2017,0,Wednesday,0,Winter,0,0
2,23,2017,0,Thursday,0,Winter,0,0
2,24,2017,0,Friday,0,Winter,0,1
2,25,2017,0,Saturday,0,Winter,0,0
2,26,2017,0,Sunday,0,Winter,0,0
2,27,2017,0,Monday,0,Winter,0,2
2,28,2017,0,Tuesday,0,Winter,0,0
3,1,2017,0,Wednesday,0,Winter,0,1
3,2,2017,0,Thursday,0,Winter,0,0
3,3,2017,0,Friday,0,Winter,0,0
3,4,2017,0,Saturday,0,Winter,0,0
3,5,2017,0,Sunday,0,Winter,0,0
3,6,2017,0,Monday,0,Winter,0,2
3,7,2017,0,Tuesday,0,Winter,0,2
3,8,2017,0,Wednesday,0,Winter,0,2
3,9,2017,0,Thursday,0,Winter,0,1
3,10,2017,0,Friday,0,Winter,0,1
3,11,2017,0,Saturday,0,Winter,0,0
3,12,2017,0,Sunday,0,Winter,0,0
3,13,2017,0,Monday,0,Winter,0,1
3,14,2017,0,Tuesday,0,Winter,0,1
3,15,2017,0,Wednesday,0,Winter,0,0
3,16,2017,0,Thursday,0,Winter,0,0
3,17,2017,0,Friday,0,Winter,0,0
3,18,2017,0,Saturday,0,Winter,0,0
3,19,2017,0,Sunday,0,Winter,0,0
3,20,2017,0,Monday,0,Winter,0,2
3,21,2017,0,Tuesday,0,Spring,0,0
3,22,2017,0,Wednesday,0,Spring,0,2
3,23,2017,0,Thursday,0,Spring,0,2
3,24,2017,0,Friday,0,Spring,0,0
3,25,2017,0,Saturday,0,Spring,0,0
3,26,2017,0,Sunday,0,Spring,0,0
3,27,2017,0,Monday,0,Spring,0,4
3,28,2017,0,Tuesday,0,Spring,0,1
3,29,2017,0,Wednesday,0,Spring,0,1
3,30,2017,0,Thursday,0,Spring,0,1
3,31,2017,0,Friday,0,Spring,0,0
4,1,2017,0,Saturday,0,Spring,0,0
4,2,2017,0,Sunday,0,Spring,0,0
4,3,2017,0,Monday,0,Spring,0,1
4,4,2017,0,Tuesday,0,Spring,0,2
4,5,2017,0,Wednesday,0,Spring,0,1
4,6,2017,0,Thursday,0,Spring,0,1
4,7,2017,0,Friday,0,Spring,0,0
4,8,2017,0,Saturday,0,Spring,0,0
4,9,2017,0,Sunday,0,Spring,0,0
4,10,2017,0,Monday,0,Spring,0,0
4,11,2017,0,Tuesday,0,Spring,0,3
4,12,2017,0,Wednesday,0,Spring,0,5
4,13,2017,0,Thursday,0,Spring,0,1
4,14,2017,0,Friday,0,Spring,0,0
4,15,2017,0,Saturday,0,Spring,0,0
4,16,2017,0,Sunday,0,Spring,0,0
4,17,2017,0,Monday,0,Spring,0,3
4,18,2017,0,Tuesday,0,Spring,0,1
4,19,2017,0,Wednesday,0,Spring,0,1
4,20,2017,0,Thursday,0,Spring,0,0
4,21,2017,0,Friday,0,Spring,0,0
4,22,2017,0,Saturday,0,Spring,0,0
4,23,2017,0,Sunday,0,Spring,0,0
4,24,2017,0,Monday,0,Spring,0,2
4,25,2017,0,Tuesday,0,Spring,0,2
4,26,2017,0,Wednesday,0,Spring,0,0
4,27,2017,0,Thursday,0,Spring,0,0
4,28,2017,0,Friday,0,Spring,0,0
4,29,2017,0,Saturday,0,Spring,0,0
4,30,2017,0,Sunday,0,Spring,0,0
5,1,2017,0,Monday,0,Spring,0,5
5,2,2017,0,Tuesday,0,Spring,0,0
5,3,2017,0,Wednesday,0,Spring,0,0
5,4,2017,0,Thursday,0,Spring,0,2
5,5,2017,0,Friday,0,Spring,0,0
5,6,2017,0,Saturday,0,Spring,0,0
5,7,2017,0,Sunday,0,Spring,0,0
5,8,2017,0,Monday,0,Spring,0,6
5,9,2017,0,Tuesday,0,Spring,0,0
5,10,2017,0,Wednesday,0,Spring,0,1
5,11,2017,0,Thursday,0,Spring,0,1
5,12,2017,0,Friday,0,Spring,0,0
5,13,2017,0,Saturday,0,Spring,0,0
5,14,2017,0,Sunday,0,Spring,0,0
5,15,2017,0,Monday,0,Spring,0,0
5,16,2017,0,Tuesday,0,Spring,0,0
5,17,2017,0,Wednesday,0,Spring,0,0
5,18,2017,0,Thursday,0,Spring,0,0
5,19,2017,0,Friday,0,Spring,0,0
5,20,2017,0,Saturday,0,Spring,0,0
5,21,2017,0,Sunday,0,Spring,0,0
5,22,2017,0,Monday,0,Spring,0,8
5,23,2017,0,Tuesday,0,Spring,0,1
5,24,2017,0,Wednesday,0,Spring,0,0
5,25,2017,0,Thursday,0,Spring,0,1
5,26,2017,0,Friday,0,Spring,0,2
5,27,2017,0,Saturday,0,Spring,0,0
5,28,2017,0,Sunday,0,Spring,0,0
5,29,2017,0,Monday,0,Spring,0,0
5,30,2017,0,Tuesday,0,Spring,0,1
5,31,2017,0,Wednesday,0,Spring,0,0
6,1,2017,0,Thursday,0,Spring,0,1
6,2,2017,0,Friday,0,Spring,0,2
6,3,2017,0,Saturday,0,Spring,0,0
6,4,2017,0,Sunday,0,Spring,0,0
6,5,2017,0,Monday,0,Spring,0,3
6,6,2017,0,Tuesday,0,Spring,0,2
6,7,2017,0,Wednesday,0,Spring,0,1
6,8,2017,0,Thursday,0,Spring,0,0
6,9,2017,0,Friday,0,Spring,0,0
6,10,2017,0,Saturday,0,Spring,0,0
6,11,2017,0,Sunday,0,Spring,0,0
6,12,2017,0,Monday,0,Spring,0,3
6,13,2017,0,Tuesday,0,Spring,0,2
6,14,2017,0,Wednesday,0,Spring,0,0
6,15,2017,0,Thursday,0,Spring,0,0
6,16,2017,0,Friday,0,Spring,0,0
6,17,2017,0,Saturday,0,Spring,0,0
6,18,2017,0,Sunday,0,Spring,0,0
6,19,2017,0,Monday,0,Spring,0,3
6,20,2017,0,Tuesday,0,Spring,0,0
6,21,2017,0,Wednesday,0,Spring,0,0
6,22,2017,0,Thursday,0,Summer,0,2
6,23,2017,0,Friday,0,Summer,0,1
6,24,2017,0,Saturday,0,Summer,0,0
6,25,2017,0,Sunday,0,Summer,0,0
6,26,2017,0,Monday,0,Summer,0,0
6,27,2017,0,Tuesday,0,Summer,0,0
